link,title,state
https://8columnas.com.mx/estado-de-mexico/codhem-presenta-dh-magazine-en-ciudad-mujeres-san-mateo-atenco/,CODHEM Presenta “DH Magazine” en Ciudad Mujeres San Mateo Atenco,edo
https://8columnas.com.mx/estado-de-mexico/rinde-protesta-como-presidente-de-almoloya-de-juarez-adolfo-solis/,"Rinde protesta como presidente de Almoloya de Juárez, Adolfo Solís",edo
https://8columnas.com.mx/estado-de-mexico/se-mantiene-en-edomex-tendencia-a-la-baja-en-homicidio-doloso/,Se mantiene en Edoméx tendencia a la baja en homicidio doloso,edo
https://8columnas.com.mx/internacional/petro-vendera-residencia-embajador-mexico-mejorar-servicios-consulares/,Petro venderá la residencia del embajador en México para mejorar servicios consulares,edo
https://8columnas.com.mx/internacional/tiktok-enfrenta-investigacion-de-la-ue-por-presunta-interferencia-en-elecciones-presidenciales-de-rumania/,TikTok enfrenta investigación de la UE por presunta interferencia en elecciones presidenciales de Rumanía,edo
https://8columnas.com.mx/seguridad/reintegra-gem-a-mujer-privada-de-su-libertad-a-hogar/,Reintegra GEM a mujer privada de su libertad a hogar,edo
https://8columnas.com.mx/estado-de-mexico/autobus-arrolla-a-una-mujer-en-metepec/,Autobús arrolla a una mujer en Metepec,edo
https://8columnas.com.mx/local/atropellan-a-mujer-frente-a-conservatorio-de-musica-en-toluca/,Atropellan a mujer frente a Conservatorio de Música en Toluca,edo
https://8columnas.com.mx/estado-de-mexico/localizan-a-mujer-desaparecida-desde-el-2022-en-edomex/,Localizan a mujer desaparecida desde el 2022 en Edomex,edo
https://8columnas.com.mx/estado-de-mexico/se-compromete-melissa-vargas-a-abatir-la-inseguridad-y-la-violencia-contra-la-mujer-en-toluca/,Se compromete Melissa Vargas a abatir la inseguridad y la violencia contra la mujer en Toluca,edo
https://8columnas.com.mx/local/proteccion-a-mujeres-sera-fundamental-para-el-desarrollo-de-toluca/,Protección a mujeres será fundamental para el desarrollo de Toluca,edo
https://8columnas.com.mx/estado-de-mexico/en-la-campana-de-edna-talavera-mercado-es-tiempo-de-mujeres/,En la campaña de Edna Talavera mercado “Es tiempo de mujeres”,edo
https://8columnas.com.mx/estado-de-mexico/tenia-a-27-perritos-con-desnutricion-en-edomex-ahora-mujer-es-procesada/,Tenía a 27 perritos con desnutrición en Edomex; ahora mujer es procesada,edo
