title,link,keyword,state
Clausuran trabajos de mesa técnica de feminicidios,https://laopcion.com.mx/local/clausuran-trabajos-de-mesa-tecnica-de-feminicidios-20170830-185112.html,feminicidio,chih
Lo declaran culpable del feminicidio de una psicóloga,https://laopcion.com.mx/juarez/lo-declaran-culpable-del-feminicidio-de-una-psicologa-20230228-418745.html,feminicidio,chih
Condenan a hombre por intento de feminicidio contra su pareja,https://laopcion.com.mx/juarez/condenan-a-hombre-por-intento-de-feminicidio-contra-su-pareja-20241030-476529.html,feminicidio,chih
Detiene FEM a presunto responsable de intento de feminicidio en ...,https://laopcion.com.mx/juarez/detiene-fem-a-presunto-responsable-de-intento-de-feminicidio-en-ciudad-juarez-20230816-436278.html,feminicidio,chih
Le formulan cargos por la violación y feminicidio contra su nieta de ...,https://laopcion.com.mx/juarez/le-formulan-cargos-por-la-violacion-y-feminicidio-contra-su-nieta-de-9-anos-20240620-466081.html,feminicidio,chih
A proceso penal dos acusados de cometer feminicidio en la colonia ...,https://laopcion.com.mx/juarez/a-proceso-penal-dos-acusados-de-cometer-feminicidio-en-la-colonia-independencia-ii-20230914-439871.html,feminicidio,chih
Clausuran foro de feminicidios en la Plaza Hidalgo,https://laopcion.com.mx/local/clausuran-foro-de-feminicidios-en-la-plaza-hidalgo-20140923-61694.html,feminicidio,chih
Recuerdan a víctimas de feminicidio en Campo Algodonero,https://laopcion.com.mx/juarez/recuerdan-a-victimas-de-feminicidio-en-campo-algodonero-20231125-447911.html,feminicidio,chih
Lo acusan de cometer feminicidio en el 2022,https://laopcion.com.mx/juarez/lo-acusan-de-cometer-feminicidio-en-el-2022-20241106-477094.html,feminicidio,chih
Los vinculan a proceso por feminicidio agravado,https://laopcion.com.mx/juarez/los-vinculan-a-proceso-por-feminicidio-agravado-20240420-461155.html,feminicidio,chih
Cada 10 minutos una mujer es asesinada a manos de su pareja o ...,https://laopcion.com.mx/nacional/cada-10-minutos-una-mujer-es-asesinada-a-manos-de-su-pareja-o-un-familiar-onu-20241125-478480.html,feminicidio,chih
Los detienen por feminicidio de una mujer aún sin identificar,https://laopcion.com.mx/juarez/los-detienen-por-feminicidio-de-una-mujer-aun-sin-identificar-20230624-430891.html,feminicidio,chih
Pide diputada Terrazas considerar tentativa de feminicidio en ...,https://laopcion.com.mx/local/pide-diputada-terrazas-considerar-tentativa-de-feminicidio-en-adolescentes-20230207-416627.html,feminicidio,chih
Lo vinculan a proceso por feminicidio de adolescente en Cuauhtémoc,https://laopcion.com.mx/local/lo-vinculan-a-proceso-por-feminicidio-de-adolescente-en-cuauhtemoc-20240124-452948.html,feminicidio,chih
Presenta Cedehm libro de poemas sobre angustia del feminicidio,https://laopcion.com.mx/espectaculos/presenta-cedehm-libro-de-poemas-sobre-angustia-del-feminicidio-20140513-39988.html,feminicidio,chih
Pide mario vázquez integrar parlamento abierto a comisión de ...,https://laopcion.com.mx/local/pide-mario-vazquez-integrar-parlamento-abierto-a-comision-de-feminicidios-20211028-357162.html,feminicidio,chih
Hallan culpable a Yolanda Jurado por feminicidio; podría alcanzar ...,https://laopcion.com.mx/noticias/hallan-culpable-a-yolanda-jurado-por-feminicidio-podria-alcanzar-prision-vitalicia-20150527-94244.html,feminicidio,chih
Vinculan a proceso a hombre por feminicidio en Parajes de Oriente,https://laopcion.com.mx/juarez/vinculan-a-proceso-a-hombre-por-feminicidio-en-parajes-de-oriente-20240127-453266.html,feminicidio,chih
El bronco trivializa feminicidios y reclama los hombricidios,https://laopcion.com.mx/amp/nacional/el-bronco-trivializa-feminicidios-y-reclama-los-hombricidios-20191030-252146.html,feminicidio,chih
Vinculan a proceso a acusado de feminicidio en Oasis Revolución,https://laopcion.com.mx/juarez/vinculan-a-proceso-a-acusado-de-feminicidio-en-oasis-revolucion-20231123-447719.html,feminicidio,chih
Obtienen vinculación a proceso de imputado por feminicidio,https://laopcion.com.mx/juarez/obtienen-vinculacion-a-proceso-de-imputado-por-feminicidio-20230704-431852.html,feminicidio,chih
Levanta la voz Comunidad de Escritores en contra del feminicidio y ...,https://laopcion.com.mx/local/levanta-la-voz-comunidad-de-escritores-en-contra-del-feminicidio-y-exigen-justicia-20140306-30375.html,feminicidio,chih
Vinculan a proceso penal a feminicida de avenida Las Industrias,https://laopcion.com.mx/policial/vinculan-a-proceso-penal-a-feminicida-de-avenida-las-industrias-20230808-435304.html,feminicidio,chih
Llaman comunicadoras a medios a realizar coberturas éticas del ...,https://laopcion.com.mx/nacional/llaman-comunicadoras-a-medios-a-realizar-coberturas-eticas-del-feminicidio-20201202-297804.html,feminicidio,chih
Le dan 35 años de cárcel por feminicidio y violación en Guachochi,https://laopcion.com.mx/policial/le-dan-35-anos-de-carcel-por-feminicidio-y-violacion-en-guachochi-20230318-420722.html,feminicidio,chih
Exige Leticia Ortega justicia por el feminicidio de Sayra Esmeralda,https://laopcion.com.mx/juarez/exige-leticia-ortega-justicia-por-el-feminicidio-de-sayra-esmeralda-20240404-459653.html,feminicidio,chih
Desmiente Salas que expolicía absuelto por feminicidio vaya a ser ...,https://laopcion.com.mx/local/desmiente-salas-que-expolicia-absuelto-por-feminicidio-vaya-a-ser-reinstalado-20230628-431309.html,feminicidio,chih
Condenan a hombre por intento de feminicidio contra su pareja,https://laopcion.com.mx/juarez/condenan-a-hombre-por-intento-de-feminicidio-contra-su-pareja-20241030-476529.html,feminicidio,chih
Lo vinculan a proceso por intento de feminicidio en Urbivilla,https://laopcion.com.mx/juarez/lo-vinculan-a-proceso-por-intento-de-feminicidio-en-urbivilla-20240704-467104.html,feminicidio,chih
